Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
768;5800210946;"Australian Journal of Adult Learning";journal;"14431394";0,274;Q3;15;22;74;1080;44;64;0,47;49,09;Australia;Pacific Region;"Adult Learning Australia";"2008-2019";"Education (Q3); E-learning (Q3)"
769;12000154349;"International Journal of Information and Communication Technology Education";journal;"15501337, 15501876";0,274;Q3;12;35;87;1472;72;87;0,90;42,06;United States;Northern America;"IGI Publishing";"2005-2020";"Computer Science Applications (Q3); Education (Q3); E-learning (Q3)"
770;21100901159;"International Journal of Child Care and Education Policy";journal;"19765681, 22886729";0,273;Q3;11;10;40;499;33;40;0,58;49,90;Singapore;Asiatic Region;"Springer Open";"2007-2020";"Sociology and Political Science (Q2); Community and Home Care (Q3); Education (Q3); Pediatrics (Q3); Pediatrics, Perinatology and Child Health (Q3)"
771;17800156738;"Organization Management Journal";journal;"15416518";0,273;Q3;14;27;61;1871;43;46;0,43;69,30;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005, 2009-2019";"Business and International Management (Q3); Education (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)"
772;4700152721;"Journal of Teaching in Travel and Tourism";journal;"15313220";0,271;Q3;21;25;67;1395;59;65;0,98;55,80;United States;Northern America;"Routledge";"2001-2020";"Education (Q3); Tourism, Leisure and Hospitality Management (Q3)"
773;21100904912;"Science for Education Today";journal;"26586762";0,271;Q3;6;80;269;2228;194;269;0,89;27,85;Russian Federation;Eastern Europe;"Novosibirsk State Pedagogical University";"2019-2020";"Education (Q3)"
774;5100155019;"Estudios Pedagogicos";journal;"0716050X";0,270;Q3;15;10;248;357;100;244;0,28;35,70;Chile;Latin America;"Universidad Austral de Chile";"1997-2002, 2006-2019";"Education (Q3)"
775;21100896874;"European Journal of Educational Research";journal;"21658714";0,270;Q3;5;104;88;4749;107;88;1,22;45,66;Netherlands;Western Europe;"Eurasian Society of Educational Research";"2018-2020";"Education (Q3)"
776;21100925825;"Investigations in Mathematics Learning";journal;"19477503, 24727466";0,270;Q3;6;23;36;841;25;33;0,76;36,57;United States;Northern America;"Routledge";"2008-2020";"Education (Q3); Mathematics (miscellaneous) (Q3)"
777;21100825549;"Arts Education Policy Review";journal;"19404395, 10632913";0,269;Q3;21;33;70;1551;42;67;0,61;47,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Visual Arts and Performing Arts (Q1); Education (Q3)"
778;19700182354;"Movimento";journal;"19828918, 0104754X";0,269;Q3;11;99;305;3384;114;301;0,38;34,18;Brazil;Latin America;"Universidade Federal do Rio Grande do Sul";"2010-2019";"Education (Q3)"
779;21100787020;"Astra Salvensis";journal;"23441887, 23934727";0,268;Q3;10;115;607;3727;307;598;0,52;32,41;Romania;Eastern Europe;"Transilvanian Association for the Literarure and Culture of Romanian People (ASTRA)";"2013-2019";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Religious Studies (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2); Philosophy (Q2); Education (Q3)"
780;21100283777;"Egitim ve Bilim";journal;"13001337";0,267;Q3;18;80;247;5805;168;238;0,54;72,56;Turkey;Middle East;"Turkish Education Association";"2008-2019";"Education (Q3)"
781;21100830439;"Language Learning in Higher Education";journal;"2191611X, 21916128";0,267;Q3;3;10;59;283;25;58;0,43;28,30;Germany;Western Europe;"De Gruyter Mouton";"2017-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q3)"
782;29598;"Religious Education";journal;"15473201, 00344087";0,267;Q3;15;68;142;1826;69;105;0,68;26,85;United States;Northern America;"Taylor and Francis Ltd.";"1906-2020";"Religious Studies (Q1); Education (Q3)"
783;6600153105;"Revista Brasileira de Educacao";journal;"1809449X, 14132478";0,267;Q3;12;17;132;550;58;123;0,38;32,35;Brazil;Latin America;"Revista Brasileira de Educacao";"2007-2019";"Education (Q3)"
